,tSNE-1,tSNE-2
F2S4_151217_007_G01,-6.636120764353318,-36.904674584217965
F2S4_151217_007_H01,0.9978104759433185,-36.20519076645928
F2S4_151217_008_A01,-6.148690534498803,-36.08952895771193
F2S4_151217_008_B01,-1.0366976573091526,-31.55549107246672
F2S4_151217_008_C01,-3.1391231344075274,-36.017759802873144
F2S4_151217_008_E01,-5.760597000274793,-35.451924391532636
F2S4_151217_008_F01,-4.302753081492009,-36.32183981054915
F2S4_151217_008_G01,-4.311890588283241,-33.29885285777999
F2S4_151217_008_H01,-0.8114451304687403,-31.62590538662457
F2S4_151217_012_A01,29.057048225908243,-9.202003932807077
F2S4_151217_012_B01,9.615422740695745,15.345312572377127
F2S4_151217_012_C01,33.43137659972497,-7.121979646683515
F2S4_151217_012_D01,22.718282210717103,-11.040072710333368
F2S4_151217_012_E01,29.731080494300002,-10.031311042185596
F2S4_151217_012_F01,-10.038877349501236,9.49473307830853
F2S4_151217_012_G01,-24.47048929642918,-29.34700962787393
F2S4_151217_012_H01,-25.5336973365843,-28.116559341802272
F2S4_151223_001_A01,-28.183761230736962,13.90065537991376
F2S4_151223_001_B01,-20.78206928423477,8.718734981819212
F2S4_151223_001_C01,-28.482203565081424,12.433312898191655
F2S4_151223_001_D01,-12.007263395371135,27.56531195718135
F2S4_151223_001_E01,-10.697724378035149,26.861368476125524
F2S4_151223_001_F01,-4.329139815552663,35.159891660985636
F2S4_151223_001_G01,-10.87916482981107,20.6914785138975
F2S4_151223_001_H01,-1.9801315537909054,34.23989068930473
F2S4_151223_009_A01,20.734275213358355,25.34787164533431
F2S4_151223_009_C01,11.651770754389027,5.973398666876644
F2S4_151223_009_D01,9.39150716472026,14.730910555414479
F2S4_151223_009_E01,20.10171670450933,10.949209147346188
F2S4_151223_009_F01,10.388379086179036,6.344573405243794
F2S4_151223_009_G01,20.072759203963795,29.249270932943787
F2S4_151223_009_H01,-21.144471377568276,17.96963042336666
F2S4_151223_010_A01,10.970976664007228,8.989988539933558
F2S4_151223_010_B01,12.610841427833552,8.872839623314457
