,tSNE-1,tSNE-2
F2S4_151223_016_H01,4.454069193720066,26.26242914822237
F2S4_151217_007_A01,2.5458813976345125,-69.89057585357972
F2S4_151217_007_B01,-46.917105798236946,-45.47491363847154
F2S4_151217_007_C01,-36.867514019457744,-51.732766886567866
F2S4_151217_007_D01,-30.41231796996361,-55.64948918858259
F2S4_151217_007_E01,-30.422670413298246,-55.06552723903241
F2S4_151217_007_F01,-35.0900363993679,-37.88406239834075
F2S4_151217_007_G01,-47.7292144844731,-40.55249323631692
F2S4_151217_007_H01,-25.513308168594087,-53.75979647434703
F2S4_151217_008_A01,-46.305131614915716,-38.670827034742956
F2S4_151217_008_B01,-22.377583099104648,-37.89679213296028
F2S4_151217_008_C01,-29.7113699433506,-46.88061763888481
F2S4_151217_008_E01,-40.9862842843038,-37.70804293796242
F2S4_151217_008_F01,-40.5423928712455,-42.78223628202212
F2S4_151217_008_G01,-35.03335472217345,-38.257124808300375
F2S4_151217_008_H01,-22.38106684084309,-37.921666467724165
F2S4_151217_012_A01,17.407172154922705,-23.294567626419244
F2S4_151217_012_B01,32.41168620687549,64.36805940407324
F2S4_151217_012_C01,6.0310602595187675,-30.646119575633563
F2S4_151217_012_D01,32.92495461875487,-73.52341639246332
F2S4_151217_012_E01,21.64554539540177,-25.669033568296335
F2S4_151217_012_F01,-79.91064426126785,4.550396176613009
F2S4_151217_012_G01,-39.94060138077331,-14.929407112072992
F2S4_151217_012_H01,-32.393412164583495,-20.95999232912967
F2S4_151223_001_A01,-46.731276457993154,36.07897781192227
F2S4_151223_001_B01,-33.82424636662543,58.551300316813204
F2S4_151223_001_C01,-57.68617212679142,34.57321048165029
F2S4_151223_001_D01,-23.198841436080375,19.56851987010783
F2S4_151223_001_E01,-16.728641190789897,31.390958282831985
F2S4_151223_001_F01,8.185435258793005,16.774690291977183
F2S4_151223_001_G01,-20.800554578514593,47.730891638928384
F2S4_151223_001_H01,16.15112291990706,20.079783977988118
F2S4_151223_009_A01,48.5539932328429,27.31177091393214
F2S4_151223_009_C01,-1.3039045307829946,71.04254594499903
F2S4_151223_009_D01,30.484391370791883,66.6544713617517
F2S4_151223_009_E01,9.316410784878824,37.68866997677735
