,tSNE-1,tSNE-2
F2S4_151223_010_D01,49.277312550733434,49.88372763866196
F2S4_151223_010_E01,2.6146961933102073,68.18946278505075
F2S4_151223_010_F01,-54.25230912817051,19.12780842338729
F2S4_151223_010_G01,5.907071701577829,19.825477046522114
F2S4_151223_011_A01,48.838443970098425,50.728060035000375
F2S4_151223_011_B01,-54.38426072699299,19.136900846644266
F2S4_151223_011_C01,7.645823978093165,67.90730142626246
F2S4_151223_011_D01,3.466597975386885,68.98395543833149
F2S4_151223_011_E01,6.908868973341087,17.593684508689375
F2S4_151223_011_F01,4.577809324870422,16.616804697351917
F2S4_151223_011_G01,27.446323302222943,24.588551850329964
F2S4_151223_011_H01,32.75317184850137,16.779517993128138
F2S4_151223_012_A01,-60.3985933491801,35.789192092548454
F2S4_151223_012_B01,-52.71725099086292,20.365656059064882
F2S4_151223_012_C01,47.40967461327146,47.27742932934548
F2S4_151223_012_D01,55.74422425351998,18.36382453049927
F2S4_151223_012_E01,-17.14803850789683,48.22501434862406
F2S4_151223_012_F01,-54.64189909947731,18.81478343789045
F2S4_151223_012_G01,48.31477161764539,48.820346987956505
F2S4_151223_012_H01,39.58699898824392,42.50895598330191
F2S4_151223_013_A01,36.61143343403379,56.11332292600608
F2S4_151223_013_B01,17.950444280826947,12.82737415296751
F2S4_151223_013_C01,26.893413123587766,24.989160562711493
F2S4_151223_013_D01,39.27971531577145,42.60745929400585
F2S4_151223_013_E01,69.40973722353328,25.457223489089312
F2S4_151223_013_F01,-75.97732178710578,7.57071643876504
F2S4_151223_013_G01,35.392493407986805,44.45157098617782
F2S4_151223_013_H01,-12.924659605199933,45.236044313358384
F2S4_151223_017_A01,-3.1748475550468163,20.137655771526486
F2S4_151223_017_B01,-17.714687235855713,52.56966449041024
F2S4_151223_017_C01,-9.317426821365947,18.218310726512826
F2S4_151223_017_D01,-17.098993435807305,48.07781503846094
F2S4_151223_017_E01,-14.304422918155053,67.0322701266028
F2S4_151223_017_F01,-11.620818683863131,18.990572269704703
F2S4_151223_017_G01,-11.667586149389596,19.007664219396833
F2S4_151223_017_H01,-2.9695070865366993,17.799578103614216
F2S4_151223_018_A01,-18.071464782143423,24.45344313555198
F2S4_151223_018_B01,-32.12155285357959,57.21400430306537
F2S4_151223_018_C01,-17.040000973651974,38.39477591475374
F2S4_151223_018_D01,-17.606941000409854,24.09990189046085
F2S4_151223_018_E01,7.053026509061743,18.99110852388316
F2S4_151223_018_F01,-19.57318866004475,25.041068674019993
F2S4_151223_018_G01,-9.22852481498112,18.167962766932483
F2S4_151223_018_H01,-29.907203685208394,14.067721296127845
F2S4_151223_007_A01,-51.24630586456186,19.502993540346292
F2S4_151223_007_B01,-19.311889205845002,25.21529440046027
F2S4_151223_007_C01,-51.071200226056554,19.292040797067312
F2S4_151223_007_D01,-30.292605961358134,10.048938715495792
F2S4_151223_007_E01,37.723297295257176,28.61654481662198
F2S4_151223_007_F01,-51.47752997746695,38.045141908248354
F2S4_151223_007_G01,-32.61618896113342,8.98284543276635
F2S4_151223_007_H01,-39.794840474858354,29.430118481344916
F2S4_151223_008_A01,54.78850219002106,17.970418505556392
F2S4_151223_008_B01,38.3375565287805,27.84714249165599
F2S4_151223_008_C01,-36.20140457358444,27.17025488939635
F2S4_151223_008_D01,6.788469437490687,49.28263980401802
F2S4_151223_008_E01,47.64590563115038,47.76009179464256
F2S4_151223_008_F01,56.75220122802783,15.858362891557707
F2S4_151223_008_G01,-51.013812842545185,38.78022728655165
F2S4_151223_008_H01,-51.652163836694626,19.567104924282127
F2S4_151223_014_A01,7.03926504315449,17.501336772926937
F2S4_151223_014_B01,18.074111098062694,12.78093721657446
F2S4_151223_014_C01,18.43140176159305,60.92683388356969
F2S4_151223_014_D01,-18.302947949270433,46.56870073774075
F2S4_151223_014_E01,4.808945582400646,21.95425561456475
F2S4_151223_014_F01,-9.322990934962114,18.238949875829913
F2S4_151223_014_G01,-38.69010056462791,29.864341484706383
F2S4_151223_014_H01,-3.533328423532418,18.052548723594814
F2S4_160113_005_A01,-6.531664175001831,-71.6657503684921
F2S4_160113_005_B01,-8.379769863916179,-65.54973066716288
F2S4_160113_005_C01,-10.164963548338037,-65.80212171735991
F2S4_160113_005_D01,-4.723712632628844,-69.91184827131815
F2S4_160113_005_E01,-6.040951253625898,-65.44523946790241
F2S4_160113_005_F01,-5.273951368767976,-70.36352776656982
F2S4_160113_005_G01,4.550418095979046,16.74824537230507
F2S4_160113_005_H01,-6.138922689363563,-65.02154990852264
F2S4_160113_006_A01,-5.897212407403467,-65.85347539578119
F2S4_160113_006_B01,-11.99857359887051,-66.62165740664999
F2S4_160113_006_C01,-5.485873783301346,-74.56357622884849
F2S4_160113_006_D01,-4.208574161701194,-66.20152025809912
F2S4_160113_006_E01,-12.094243933310182,-66.66014975594426
F2S4_160113_006_F01,-1.8575320367644859,-67.33457274537574
F2S4_160113_006_G01,-9.3391434990035,-65.41000949030261
F2S4_160113_006_H01,-1.6548160512512902,-66.78270107005744
F2S4_160113_007_B01,-48.36887318393739,-43.67249116295128
F2S4_160113_007_C01,-22.803202359184,-37.163830015097545
F2S4_160113_007_D01,-29.528772531307187,-46.57135113629334
F2S4_160113_007_E01,-38.194705512561946,-49.54389167477222
F2S4_160113_007_F01,-38.14701019463319,-50.44535589013264
F2S4_160113_007_G01,-30.358518213238334,-46.35330954132389
F2S4_160113_007_H01,-33.58614666923182,-53.93356875094462
F2S4_160113_008_A01,-46.437587203290306,-45.615267180776314
F2S4_160113_008_B01,-50.26212168570732,-45.918566197302084
